ID,NAME,ADDRESS,CITY,STATE,Type of school,ZIP,TELEPHONE,COUNTY,COUNTYFIPS,COUNTRY,WEBSITE,ALIAS,TOTAL_ENROLLMENT
6311,UNIVERSITY OF WISCONSIN-GREEN BAY,2420 NICOLET DR,GREEN BAY,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",54311,(920) 465-2111,BROWN,55009,USA,www.uwgb.edu,NOT AVAILABLE,7174
6312,UNIVERSITY OF WISCONSIN-SUPERIOR,1605 CATLIN AVE,SUPERIOR,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",54880,(715) 394-8101,DOUGLAS,55031,USA,https://www.uwsuper.edu,NOT AVAILABLE,2595
6313,MIDWEST COLLEGE OF ORIENTAL MEDICINE-RACINE,6232 BANKERS ROAD,RACINE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",53403,(262) 554-2010,RACINE,55101,USA,www.Acupuncture.edu,NOT AVAILABLE,55
6314,NATIONAL COLLEGE-NASHVILLE,1638 BELL ROAD,NASHVILLE,TN,JUNIOR COLLEGES,37211,(615) 333-3344,DAVIDSON,47037,USA,www.national-college.edu,NOT AVAILABLE,207
6315,SANTIAGO CANYON COLLEGE,8045 E CHAPMAN,ORANGE,CA,JUNIOR COLLEGES,92869,(714) 628-4900,ORANGE,6059,USA,www.sccollege.edu/Pages/default.aspx,SCC,12307
6316,SOKA UNIVERSITY OF AMERICA,1 UNIVERSITY DRIVE,ALISO VIEJO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92656,(949) 480-4000,ORANGE,6059,USA,www.soka.edu,SOKA; SUA,427
6317,ARGOSY UNIVERSITY-NORTHERN VIRGINIA,"1550 WILSON BOULEVARD, SUITE 600",ARLINGTON,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",22209,(703) 526-5800,ARLINGTON,51013,USA,www.argosy.edu/washingtondc,ARGOSY UNIVERSITY-NORTHERN VIRGINIA,477
6318,CASCADIA COLLEGE,18345 CAMPUS WAY NE,BOTHELL,WA,JUNIOR COLLEGES,98011,(425) 352-8000,KING,53033,USA,www.cascadia.edu,NOT AVAILABLE,3425
6319,THE ART INSTITUTE OF WASHINGTON,1820 N FORT MYER DR,ARLINGTON,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",22209,(703) 358-9550,ARLINGTON,51013,USA,www.artinstitutes.edu/arlington,NOT AVAILABLE,498
6320,DIVINE MERCY UNIVERSITY,"2001 JEFFERSON DAVIS HIGHWAY, SUITE 511",ARLINGTON,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",22202,(703) 416-1441,ARLINGTON,51013,USA,www.divinemercy.edu,DMU,241
6321,MODESTO JUNIOR COLLEGE,435 COLLEGE AVE,MODESTO,CA,JUNIOR COLLEGES,95350,(209) 575-6550,STANISLAUS,6099,USA,www.mjc.edu,MJC,17880
6322,NATIONAL UNIVERSITY,11255 NORTH TORREY PINES ROAD,LA JOLLA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92037,(800) 628-8648,SAN DIEGO,6073,USA,www.nu.edu,NOT AVAILABLE,17097
6323,UNIVERSITY OF REDLANDS,1200 E. COLTON AVE,REDLANDS,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92373,(909) 793-2121,SAN BERNARDINO,6071,USA,www.redlands.edu,NOT AVAILABLE,4898
6324,POINT LOMA NAZARENE UNIVERSITY,3900 LOMALAND DR,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92106,(619) 849-2200,SAN DIEGO,6073,USA,www.pointloma.edu,PLNU,4417
6325,SAN DIEGO MESA COLLEGE,7250 MESA COLLEGE DR,SAN DIEGO,CA,JUNIOR COLLEGES,92111,(619) 388-2604,SAN DIEGO,6073,USA,www.sdmesa.edu/,NOT AVAILABLE,23532
6326,SAN JOSE STATE UNIVERSITY,ONE WASHINGTON SQUARE,SAN JOSE,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",95192,(408) 924-1000,SANTA CLARA,6085,USA,www.sjsu.edu,NOT AVAILABLE,35835
6327,SANTA BARBARA BUSINESS COLLEGE-SANTA MARIA,303 E PLAZA DR STE 1,SANTA MARIA,CA,JUNIOR COLLEGES,93454,(805) 922-8256,SANTA BARBARA,6083,USA,sbbcollege.edu,SBBCOLLEGE |SBBC,78
6328,WESTMONT COLLEGE,955 LA PAZ RD,SANTA BARBARA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",93108,(805) 565-6000,SANTA BARBARA,6083,USA,www.westmont.edu,NOT AVAILABLE,1300
6329,WESTERN STATE COLLEGE OF LAW AT ARGOSY UNIVERSITY,1 BANTING,IRVINE,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92618,(714) 738-1000,ORANGE,6059,USA,www.wsulaw.edu,NOT AVAILABLE,409
6330,THOMAS JEFFERSON SCHOOL OF LAW,1155 ISLAND AVENUE,SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92101,(619) 961-4325,SAN DIEGO,6073,USA,www.tjsl.edu,NOT AVAILABLE,569
6331,COLORADO SCHOOL OF MINES,1500 ILLINOIS ST,GOLDEN,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",80401,(303) 273-3000,JEFFERSON,8059,USA,www.mines.edu,MINES,6209
6332,UNIVERSITY OF DENVER,2199 S. UNIVERSITY BLVD,DENVER,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",80208,(303) 871-2000,DENVER,8031,USA,www.du.edu,DU,11434
6333,COLUMBIA THEOLOGICAL SEMINARY,701 S. COLUMBIA DR,DECATUR,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",30030,(404) 378-8821,DEKALB,13089,USA,WWW.CTSNET.EDU,NOT AVAILABLE,187
6334,MERCER UNIVERSITY,1501 MERCER UNIVERSITY DRIVE,MACON,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",31207,(478) 301-2700,BIBB,13021,USA,www.mercer.edu,NOT AVAILABLE,8653
6335,OGLETHORPE UNIVERSITY,"4484 PEACHTREE ROAD, NE",ATLANTA,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",30319,(404) 261-1441,DEKALB,13089,USA,www.oglethorpe.edu,OGLETHORPE,1250
6336,AUGUSTANA COLLEGE,639 38TH ST,ROCK ISLAND,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",61201,(309) 794-7000,ROCK ISLAND,17161,USA,www.augustana.edu,NOT AVAILABLE,2647
6337,BRADLEY UNIVERSITY,1501 W BRADLEY AVE,PEORIA,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",61625,(309) 676-7611,PEORIA,17143,USA,www.bradley.edu,NOT AVAILABLE,5844
6338,MCHENRY COUNTY COLLEGE,8900 US HWY 14,CRYSTAL LAKE,IL,JUNIOR COLLEGES,60012,(815) 455-3700,MCHENRY,17111,USA,www.mchenry.edu,"MCC, MCHENRY, MCHENREY",6843
6339,MCKENDREE UNIVERSITY,701 COLLEGE RD,LEBANON,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",62254,(618) 537-4481,ST. CLAIR,17163,USA,www.mckendree.edu,NOT AVAILABLE,2676
6340,LINCOLN COLLEGE OF TECHNOLOGY-INDIANAPOLIS,7225 WINTON DRIVE - BUILDING 128,INDIANAPOLIS,IN,JUNIOR COLLEGES,46268,(317) 632-5553 EXT 40400,MARION,18097,USA,www.lincolnedu.com/campus/indianapolis-in,LTI; LINCOLN TECH; LINCOLN EDUCATIONAL SERVICES; LCT,792
6341,VALPARAISO UNIVERSITY,US HIGHWAY 30 AND STURDY ROAD,VALPARAISO,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",46383,(219) 464-5000,PORTER,18127,USA,www.valpo.edu,VALPO|VU,4026
6342,MERCY COLLEGE OF HEALTH SCIENCES,928 SIXTH AVE,DES MOINES,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",50309,(515) 643-3180,POLK,19153,USA,www.mchs.edu,NOT AVAILABLE,758
6343,SAINT AMBROSE UNIVERSITY,518 W LOCUST ST,DAVENPORT,IA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",52803,(563) 333-6000,SCOTT,19163,USA,www.sau.edu,ST. AMBROSE UNIVERSITY  |ST AMBROSE UNIVERSITY,3114
6344,NEW HOPE CHRISTIAN COLLEGE-EUGENE,2155 BAILEY HILL RD,EUGENE,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",97405,(541) 485-1780,LANE,41039,USA,www.newhope.edu,NOT AVAILABLE,93
6345,PACIFIC UNIVERSITY,2043 COLLEGE WAY,FOREST GROVE,OR,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",97116,(877) 722-8648,WASHINGTON,41067,USA,www.pacificu.edu,PACIFIC|PU|PAC U|PACIFICU|PACIFIC UNIVERSITY OREGON,3893
6346,CLARKS SUMMIT UNIVERSITY,538 VENARD RD,SOUTH ABINGTON TOWNSHIP,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",18411,(570) 586-2400,LACKAWANNA,42069,USA,https://www.clarkssummitu.edu/,BBC |BBC&S |SUMMIT U |SUMMIT UNIVERSITY |BBC & S |BBS |BAPTIST BIBLE COLLEGE OF PA |BAPTIST BIBLE COLLEGE |BAPTIST BIBLE SEMINARY |BAPTIST BIBLE COLLEGE & SEMINARY |BAPTIST BIBLE COLLEGE OF PENNSYLVANIA |SUMMIT UNIVERSITY OF PENNSYLVANIA |SU OF PENNSYLVANIA |SUMMIT U |SUMMIT U OF PENNSYLVANIA,741
6347,LA ROCHE COLLEGE,9000 BABCOCK BLVD,PITTSBURGH,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",15237,(412) 367-9300,ALLEGHENY,42003,USA,www.laroche.edu,LRC,1535
6348,NEUMANN UNIVERSITY,ONE NEUMANN DRIVE,ASTON,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",19014,(610) 459-0905,DELAWARE,42045,USA,www.neumann.edu,NEUMANN,2715
6349,ROBERT MORRIS UNIVERSITY,6001 UNIVERSITY BOULEVARD,MOON TOWNSHIP,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",15108,(800) 762-0097,ALLEGHENY,42003,USA,www.rmu.edu,NOT AVAILABLE,5076
6350,MIDDLE TENNESSEE STATE UNIVERSITY,1301 EAST MAIN STREET,MURFREESBORO,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",37132,(615) 898-2300,RUTHERFORD,47149,USA,www.mtsu.edu,NOT AVAILABLE,21913
6351,O'MORE COLLEGE OF DESIGN,423 S MARGIN ST,FRANKLIN,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",37064,(615) 794-4254,WILLIAMSON,47187,USA,www.omorecollege.edu,NOT AVAILABLE,157
6352,BROOKHAVEN COLLEGE,3939 VALLEY VIEW LN,FARMERS BRANCH,TX,JUNIOR COLLEGES,75244,(972) 860-4700,DALLAS,48113,USA,www.brookhavencollege.edu/,NOT AVAILABLE,13286
6353,DALLAS THEOLOGICAL SEMINARY,3909 SWISS AVE,DALLAS,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",75204,(214) 887-5000,DALLAS,48113,USA,WWW.DTS.EDU,NOT AVAILABLE,2369
6354,EASTFIELD COLLEGE,3737 MOTLEY DR,MESQUITE,TX,JUNIOR COLLEGES,75150,(972) 860-7100,DALLAS,48113,USA,www.eastfieldcollege.edu/,NOT AVAILABLE,16196
6355,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,1200 SYCAMORE,WAXAHACHIE,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",75165,(888) 937-7248,ELLIS,48139,USA,www.sagu.edu,NOT AVAILABLE,2162
6356,THE UNIVERSITY OF TEXAS MEDICAL BRANCH,301 UNIVERSITY BLVD,GALVESTON,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",77555,(409) 772-1011,GALVESTON,48167,USA,https://www.utmb.edu,THE UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON|UTMB,3302
6357,THE UNIVERSITY OF TEXAS AT EL PASO,500 W. UNIVERSITY AVE,EL PASO,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",79968,(915) 747-5000,EL PASO,48141,USA,www.utep.edu,UTEP,25078
6358,CHRISTOPHER NEWPORT UNIVERSITY,1 AVENUE OF THE ARTS,NEWPORT NEWS,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",23606,(757) 594-7000,NEWPORT NEWS,51700,USA,cnu.edu/,CNU,5081
6359,PLATT COLLEGE-TULSA,3801 S SHERIDAN,TULSA,OK,JUNIOR COLLEGES,74145,(918) 663-9000,TULSA,40143,USA,www.plattcolleges.edu,NOT AVAILABLE,329
6360,ITT TECHNICAL INSTITUTE-NEWBURGH,10999 STAHL RD,NEWBURGH,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",47630,NOT AVAILABLE,WARRICK,18173,USA,NOT AVAILABLE,NOT AVAILABLE,-999
6361,COLORADO CHRISTIAN UNIVERSITY,8787 WEST ALAMEDA AVENUE,LAKEWOOD,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",80226,(303) 963-3000,JEFFERSON,8059,USA,WWW.CCU.EDU,CCU,7398
6362,WESLEYAN COLLEGE,4760 FORSYTH ROAD,MACON,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",31210,(478) 477-1110,BIBB,13021,USA,www.wesleyancollege.edu,NOT AVAILABLE,603
6363,JUDSON UNIVERSITY,1151 N STATE ST,ELGIN,IL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",60123,(847) 628-2500,KANE,17089,USA,www.judsonu.edu,NOT AVAILABLE,1283
6364,ROCK VALLEY COLLEGE,3301 N MULFORD RD,ROCKFORD,IL,JUNIOR COLLEGES,61114,(815) 921-7821,WINNEBAGO,17201,USA,www.rockvalleycollege.edu,NOT AVAILABLE,6378
6365,HUNTINGTON UNIVERSITY,2303 COLLEGE AVE,HUNTINGTON,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",46750,(260) 356-6000,HUNTINGTON,18069,USA,www.huntington.edu,NOT AVAILABLE,1321
6366,UNIVERSITY OF INDIANAPOLIS,1400 E HANNA AVE,INDIANAPOLIS,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",46227,(317) 788-3368,MARION,18097,USA,uindy.edu,UINDY,5972
6367,MIDAMERICA NAZARENE UNIVERSITY,2030 E COLLEGE WAY,OLATHE,KS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",66062,(913) 782-3750,JOHNSON,20091,USA,www.mnu.edu,MIDAMERICA NAZARENE COLLEGE,1888
6368,ROBERTS WESLEYAN COLLEGE,2265 WESTSIDE DR,ROCHESTER,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",14624,(585) 594-6000,MONROE,36055,USA,www.roberts.edu,NOT AVAILABLE,1740
6369,ROCHESTER INSTITUTE OF TECHNOLOGY,1 LOMB MEMORIAL DR,ROCHESTER,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",14623,(585) 475-2411,MONROE,36055,USA,www.rit.edu/,RIT  |R.I.T.,16584
6370,SAINT ELIZABETH COLLEGE OF NURSING,2215 GENESEE STREET,UTICA,NY,OTHER TECHNICAL AND TRADE SCHOOLS,13501,(315) 801-8144,ONEIDA,36065,USA,www.secon.edu,NOT AVAILABLE,202
6371,SAINT JOHN FISHER COLLEGE,3690 EAST AVE,ROCHESTER,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",14618,(585) 385-8000,MONROE,36055,USA,https://www.sjfc.edu,FISHER,3776
6372,NEW YORK CAREER INSTITUTE,11 PARK PLACE 4TH FLOOR,NEW YORK,NY,JUNIOR COLLEGES,10007,NOT AVAILABLE,NEW YORK,36061,USA,NOT AVAILABLE,NOT AVAILABLE,-999
6373,BRANFORD HALL CAREER INSTITUTE-BOHEMIA CAMPUS,565 JOHNSON AVENUE,BOHEMIA,NY,OTHER TECHNICAL AND TRADE SCHOOLS,11716,(631) 589-1222,SUFFOLK,36103,USA,www.branfordhall.edu,NOT AVAILABLE,265
6374,THE COLLEGE OF WESTCHESTER,325 CENTRAL AVE,WHITE PLAINS,NY,JUNIOR COLLEGES,10606,(914) 948-4442,WESTCHESTER,36119,USA,www.cw.edu,CW,916
6375,YESHIVA KARLIN STOLIN,1818 54TH ST,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",11204,(718) 232-7800,KINGS,36047,USA,NOT AVAILABLE,NOT AVAILABLE,151
6376,YESHIVA DERECH CHAIM,1573 39TH ST,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",11218,(718) 438-5476,KINGS,36047,USA,www.yeshivaderechchaim.com,NOT AVAILABLE,138
6377,THE ART INSTITUTE OF CHARLOTTE,"THREE LAKE POINTE PLAZA, 2110 WATER RIDGE PARKWAY",CHARLOTTE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",28217,(704) 357-8020,MECKLENBURG,37119,USA,www.artinstitutes.edu/charlotte,NOT AVAILABLE,451
6378,BARTON COLLEGE,200 E. ACC DRIVE,WILSON,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27893,(252) 399-6300,WILSON,37195,USA,https://www.barton.edu/,NOT AVAILABLE,960
6379,BENNETT COLLEGE,900 E WASHINGTON ST,GREENSBORO,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27401,(336) 517-2100,GUILFORD,37081,USA,www.bennett.edu/,BENNETT COLLEGE / BENNETT,493
6380,BLADEN COMMUNITY COLLEGE,7418 NC HWY 41 WEST,DUBLIN,NC,JUNIOR COLLEGES,28332,(910) 879-5500,BLADEN,37017,USA,www.bladencc.edu,BCC,1141
6381,CAMPBELL UNIVERSITY,143 MAIN STREET,BUIES CREEK,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27506,(910) 893-1200 EXT 1265,HARNETT,37085,USA,www.campbell.edu,NOT AVAILABLE,6604
6382,CAROLINA SCHOOL OF BROADCASTING,3435 PERFORMANCE RD,CHARLOTTE,NC,OTHER TECHNICAL AND TRADE SCHOOLS,28214,(704) 395-9272,MECKLENBURG,37119,USA,www.csbradiotv.edu,NOT AVAILABLE,64
6383,EAST CAROLINA UNIVERSITY,EAST 5TH STREET,GREENVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27858,(252) 328-6131,PITT,37147,USA,www.ecu.edu,ECU,29131
6384,ELIZABETH CITY STATE UNIVERSITY,1704 WEEKSVILLE RD,ELIZABETH CITY,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27909,(252) 335-3400,PASQUOTANK,37139,USA,www.ecsu.edu,ECSU,1411
6385,ELON UNIVERSITY,100 CAMPUS DRIVE,ELON,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",27244,(336) 278-2000,ALAMANCE,37001,USA,www.elon.edu,NOT AVAILABLE,6791
6386,FAYETTEVILLE STATE UNIVERSITY,1200 MURCHISON RD,FAYETTEVILLE,NC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",28301,(910) 672-1111,CUMBERLAND,37051,USA,www.uncfsu.edu,NOT AVAILABLE,6226
6387,JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL,1320 TACOMA AVENUE,BISMARCK,ND,COSMETOLOGY AND BARBER SCHOOLS,58504,(701) 223-8804 EXT 108,BURLEIGH,38015,USA,paulmitchell.edu/bismarck/,JZ TREND ACADEMY,35
6388,MIAMI-JACOBS CAREER COLLEGE-INDEPENDENCE,6400 ROCKSIDE ROAD,INDEPENDENCE,OH,JUNIOR COLLEGES,44131,(216) 861-3222,CUYAHOGA,39035,USA,www.miamijacobs.edu/,NOT AVAILABLE,12
6389,ATHENAEUM OF OHIO,6616 BEECHMONT AVE,CINCINNATI,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",45230,(513) 231-2223,HAMILTON,39061,USA,www.athenaeum.edu,MOUNT ST. MARY'S SEMINARY |MOUNT ST. MARY'S SEMINARY OF THE WEST,195
6390,AULTMAN COLLEGE OF NURSING AND HEALTH SCIENCES,2600 6TH ST SW,CANTON,OH,JUNIOR COLLEGES,44710,(330) 363-6347,STARK,39151,USA,www.aultmancollege.edu,AULTMAN COLLEGE,394
6391,BRYANT & STRATTON COLLEGE-PARMA,12955 SNOW RD,PARMA,OH,JUNIOR COLLEGES,44130,(216) 265-3151,CUYAHOGA,39035,USA,www.bryantstratton.edu/,NOT AVAILABLE,354
6392,CASE WESTERN RESERVE UNIVERSITY,10900 EUCLID AVE,CLEVELAND,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",44106,(216) 368-2000,CUYAHOGA,39035,USA,www.case.edu,CASE|CWRU|CASE WESTERN RESERVE,11824
6393,URSULINE COLLEGE,2550 LANDER RD,PEPPER PIKE,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",44124,(440) 449-4200,CUYAHOGA,39035,USA,www.ursuline.edu,NOT AVAILABLE,1123
6394,CHARLESTON SOUTHERN UNIVERSITY,9200 UNIVERSITY BLVD,CHARLESTON,SC,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",29406,(843) 863-7000,CHARLESTON,45019,USA,www.csuniv.edu,CSU|CHARLESTON SOUTHERN|,3492
6395,EASTERN VIRGINIA MEDICAL SCHOOL,700W. OLNEY,NORFOLK,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",23507,(757) 446-8422,NORFOLK,51710,USA,www.evms.edu,NOT AVAILABLE,1256
6396,NORFOLK STATE UNIVERSITY,700 PARK AVENUE,NORFOLK,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",23504,(757) 823-8600,NORFOLK,51710,USA,www.nsu.edu,NORFOLK STATE; NSU,5303
6397,MEDICAL COLLEGE OF WISCONSIN,8701 WATERTOWN PLANK ROAD,MILWAUKEE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",53226,(414) 955-8296,MILWAUKEE,55079,USA,www.mcw.edu,NOT AVAILABLE,1385
6398,MOUNT MARY UNIVERSITY,2900 N. MENOMONEE RIVER PKY,MILWAUKEE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",53222,(414) 930-3000,MILWAUKEE,55079,USA,www.mtmary.edu/,MOUNT MARY COLLEGE |MMU |MMC |WOMEN |WISCONSIN,1399
6399,WAUKESHA COUNTY TECHNICAL COLLEGE,800 MAIN STREET,PEWAUKEE,WI,JUNIOR COLLEGES,53072,(262) 691-5566,WAUKESHA,55133,USA,www.wctc.edu,WCTC,7696
6400,GARNET CAREER CENTER,422 DICKINSON ST,CHARLESTON,WV,OTHER TECHNICAL AND TRADE SCHOOLS,25301,(304) 348-6195,KANAWHA,54039,USA,garnet.edu,NOT AVAILABLE,107
6401,CENTRAL SCHOOL OF PRACTICAL NURSING,4700 ROCKSIDE ROAD,INDEPENDENCE,OH,OTHER TECHNICAL AND TRADE SCHOOLS,44131,(216) 901-4400,CUYAHOGA,39035,USA,www.cspnohio.org,NOT AVAILABLE,124
6402,CINCINNATI COLLEGE OF MORTUARY SCIENCE,645 W NORTH BEND RD,CINCINNATI,OH,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",45224,(513) 761-2020,HAMILTON,39061,USA,WWW.CCMS.EDU,NOT AVAILABLE,85
6403,CLEVELAND INSTITUTE OF DENTAL-MEDICAL ASSISTANTS-CLEVELAND,2450 PROSPECT AVE  E.  2ND FLR.,CLEVELAND,OH,OTHER TECHNICAL AND TRADE SCHOOLS,44115,(216) 241-2930,CUYAHOGA,39035,USA,www.cidma.edu,NOT AVAILABLE,75
6404,BRADFORD SCHOOL,2469 STELZER ROAD,COLUMBUS,OH,JUNIOR COLLEGES,43219,(614) 416-6200,FRANKLIN,39049,USA,www.bradfordschoolcolumbus.edu,NOT AVAILABLE,368
6405,AMERICAN BROADCASTING SCHOOL-OKLAHOMA CITY,4511 SE 29TH ST,OKLAHOMA CITY,OK,OTHER TECHNICAL AND TRADE SCHOOLS,73115,(405) 672-6511,OKLAHOMA,40109,USA,www.radioschool.com,NOT AVAILABLE,20
6406,BROKEN ARROW BEAUTY COLLEGE-BROKEN ARROW,400 S ELM PL STE C,BROKEN ARROW,OK,COSMETOLOGY AND BARBER SCHOOLS,74012,(918) 251-9669,TULSA,40143,USA,www.babeautycollege.com,NOT AVAILABLE,44
6407,RANDALL UNIVERSITY,3701 S I-35 FRONTAGE ROAD,MOORE,OK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",73160,(405) 912-9000,CLEVELAND,40027,USA,www.ru.edu,NOT AVAILABLE,322
6408,SOUTHWESTERN CHRISTIAN UNIVERSITY,7210 NW 39TH EXPRESSWAY,BETHANY,OK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",73008,(405) 789-7661,OKLAHOMA,40109,USA,www.swcu.edu,SCU,670
6409,CONCORDE CAREER COLLEGE-PORTLAND,"1425 NE IRVING STREET, BLDG 300",PORTLAND,OR,JUNIOR COLLEGES,97232,(503) 281-4181,MULTNOMAH,41051,USA,www.concorde.edu,NOT AVAILABLE,448
6410,REFORMED PRESBYTERIAN THEOLOGICAL SEMINARY,7418 PENN AVE,PITTSBURGH,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",15208,(412) 731-6000,ALLEGHENY,42003,USA,www.rpts.edu,RPTS,101
6411,SAINT VINCENT COLLEGE,300 FRASER PURCHASE RD,LATROBE,PA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",15650,(724) 539-9761,WESTMORELAND,42129,USA,https://www.stvincent.edu,NOT AVAILABLE,1865
6412,SOUTH HILLS BEAUTY ACADEMY INC,3269 W LIBERTY AVE,PITTSBURGH,PA,COSMETOLOGY AND BARBER SCHOOLS,15216,(412) 561-3381,ALLEGHENY,42003,USA,www.shnhbeauty.com,NOT AVAILABLE,144
6413,NEWPORT SCHOOL OF HAIRDRESSING-MAIN CAMPUS,226 MAIN ST,PAWTUCKET,RI,COSMETOLOGY AND BARBER SCHOOLS,2860,NOT AVAILABLE,PROVIDENCE,44007,USA,NOT AVAILABLE,NOT AVAILABLE,-999
6414,OBLATE SCHOOL OF THEOLOGY,285 OBLATE DR,SAN ANTONIO,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",78216,(210) 341-1366,BEXAR,48029,USA,www.ost.edu,OBLATE,146
